k,obj_value,per_red
147,645.1831880584605,50
148,645.1831880584605,50
149,645.1831880584605,50
150,645.1831880584605,50
151,645.1831880584605,50
152,645.1831880584605,50
153,645.1831880584605,50
154,645.1831880584605,50
155,645.1831880584605,50
156,645.1831880584605,50
157,645.1831880584605,50
158,645.1831880584605,50
159,645.1831880584605,50
160,645.1831880584605,50
161,645.1831880584605,50
162,645.1831880584605,50
163,645.1831880584605,50
164,645.1831880584605,50
165,645.1831880584605,50
166,645.1831880584605,50
167,645.1831880584605,50
168,645.1831880584605,50
169,645.1831880584605,50
170,645.1831880584605,50
171,645.1831880584605,50
172,645.1831880584605,50
173,645.1831880584605,50
174,645.1831880584605,50
175,645.1831880584605,50
176,645.1831880584605,50
177,645.1831880584605,50
178,645.1831880584605,50
179,645.1831880584605,50
180,645.1831880584605,50
181,645.1831880584605,50
182,645.1831880584605,50
183,645.1831880584605,50
184,645.1831880584605,50
185,645.1831880584605,50
186,645.1831880584605,50
187,645.1831880584605,50
188,645.1831880584605,50
189,645.1831880584605,50
190,645.1831880584605,50
191,645.1831880584605,50
192,645.1831880584605,50
193,645.1831880584605,50
194,645.1831880584605,50
195,645.1831880584605,50
196,645.1831880584605,50
197,645.1831880584605,50
198,645.1831880584605,50
199,645.1831880584605,50
200,645.1831880584605,50
201,645.1831880584605,50
202,645.1831880584605,50
203,645.1831880584605,50
204,645.1831880584605,50
205,645.1831880584605,50
206,645.1831880584605,50
207,645.1831880584605,50
208,645.1831880584605,50
209,645.1831880584605,50
210,645.1831880584605,50
211,645.1831880584605,50
212,645.1831880584605,50
213,645.1831880584605,50
214,645.1831880584605,50
215,645.1831880584605,50
216,645.1831880584605,50
217,645.1831880584605,50
218,645.1831880584605,50
219,645.1831880584605,50
220,645.1831880584605,50
221,645.1831880584605,50
222,645.1831880584605,50
223,645.1831880584605,50
224,645.1831880584605,50
225,645.1831880584605,50
226,645.1831880584605,50
227,645.1831880584605,50
228,645.1831880584605,50
229,645.1831880584605,50
230,645.1831880584605,50
231,645.1831880584605,50
232,645.1831880584605,50
233,645.1831880584605,50
234,645.1831880584605,50
235,645.1831880584605,50
236,645.1831880584605,50
237,645.1831880584605,50
238,645.1831880584605,50
239,645.1831880584605,50
240,645.1831880584605,50
241,645.1831880584605,50
242,645.1831880584605,50
243,645.1831880584605,50
244,643.9383976242369,50
245,643.9383976242369,50
246,643.9383976242369,50
247,643.9383976242369,50
248,643.9383976242369,50
249,643.9383976242369,50
250,643.9383976242369,50
251,643.9383976242369,50
252,643.9383976242369,50
253,643.9383976242369,50
254,643.9383976242369,50
255,643.9383976242369,50
256,643.9383976242369,50
257,643.9383976242369,50
258,643.9383976242369,50
259,643.9383976242369,50
260,643.9383976242369,50
261,643.9383976242369,50
262,643.9383976242369,50
263,643.9383976242369,50
264,643.9383976242369,50
265,643.9383976242369,50
266,643.9383976242369,50
267,643.9383976242369,50
268,643.9383976242369,50
269,643.9383976242369,50
270,643.9383976242369,50
271,643.9383976242369,50
272,643.9383976242369,50
273,643.9383976242369,50
274,643.9383976242369,50
275,643.9383976242369,50
276,643.9383976242369,50
277,643.9383976242369,50
278,643.9383976242369,50
279,643.9383976242369,50
280,643.9383976242369,50
281,643.9383976242369,50
282,643.9383976242369,50
283,643.9383976242369,50
284,643.9383976242369,50
285,643.9383976242369,50
286,643.9383976242369,50
287,643.9383976242369,50
288,643.9383976242369,50
289,643.9383976242369,50
290,643.9383976242369,50
291,643.9383976242369,50
292,643.9383976242369,50
293,643.9383976242369,50
294,643.9383976242369,50
295,643.9383976242369,50
296,643.9383976242369,50
297,643.9383976242369,50
298,643.9383976242369,50
299,643.9383976242369,50
300,643.9383976242369,50
301,643.9383976242369,50
302,643.9383976242369,50
303,643.9383976242369,50
304,643.9383976242369,50
305,643.9383976242369,50
306,643.9383976242369,50
307,643.9383976242369,50
308,643.9383976242369,50
