,Distribution_type,U,Sigma,U2,Sigma2,mixing_prob,limitk,per_red,Objective_function_value,Solution_locations,Running_time(sec)
195,Normal_bimodal,180,30,120,10,0.8,300,5.0,224.6736872629627,1 2|4 1|3 5,1.6745771
196,Normal_bimodal,180,30,120,10,0.8,300,15.0,223.42532743489096,1 1|5 5|1 4,6.1067767
197,Normal_bimodal,180,30,120,10,0.8,300,25.0,223.42532743489096,1 1|5 5|1 4,5.9262574
198,Normal_bimodal,180,30,120,10,0.8,300,40.0,223.42532743489096,1 1|5 5|1 4,5.9208138
199,Normal_bimodal,180,30,120,10,0.8,300,50.0,223.42532743489096,1 1|5 5|1 4,6.6358649
200,Normal_bimodal,180,20,300,60,0.2,300,5.0,472.6985006208157,4 1|2 5|1 1,1.8529778
201,Normal_bimodal,180,20,300,60,0.2,300,15.0,472.6985006208157,5 5|0 2|5 0,4.9148406
202,Normal_bimodal,180,20,300,60,0.2,300,25.0,472.6985006208157,5 5|0 2|5 0,3.9505649
203,Normal_bimodal,180,20,300,60,0.2,300,40.0,472.6985006208157,5 5|0 2|5 0,4.0018863
204,Normal_bimodal,180,20,300,60,0.2,300,50.0,472.6985006208157,5 5|0 2|5 0,4.0238071
205,Normal_bimodal,180,20,300,60,0.4,300,5.0,431.4515397258455,0 2|3 1|3 4,2.0177645
206,Normal_bimodal,180,20,300,60,0.4,300,15.0,431.4515397258455,3 5|0 2|3 2,4.2465263
207,Normal_bimodal,180,20,300,60,0.4,300,25.0,431.4515397258455,3 5|0 2|3 2,4.195027
208,Normal_bimodal,180,20,300,60,0.4,300,40.0,431.4515397258455,3 5|0 2|3 2,4.1482095
209,Normal_bimodal,180,20,300,60,0.4,300,50.0,431.4515397258455,3 5|0 2|3 2,3.989752
210,Normal_bimodal,180,20,300,60,0.5,300,5.0,418.91902280753055,3 1|1 3|4 5,1.7000567
211,Normal_bimodal,180,20,300,60,0.5,300,15.0,414.9498723344667,1 5|2 2|4 5,4.1990167
212,Normal_bimodal,180,20,300,60,0.5,300,25.0,414.9498723344667,1 5|2 2|4 5,4.2025369
213,Normal_bimodal,180,20,300,60,0.5,300,40.0,414.9498723344667,1 5|2 2|4 5,4.1564453
214,Normal_bimodal,180,20,300,60,0.5,300,50.0,414.9498723344667,1 5|2 2|4 5,4.1275561
215,Normal_bimodal,180,20,300,60,0.6,300,5.0,386.3492326909079,4 4|1 3|3 0,1.8401798
216,Normal_bimodal,180,20,300,60,0.6,300,15.0,386.3492326909079,1 1|2 4|4 3,4.2661047
217,Normal_bimodal,180,20,300,60,0.6,300,25.0,386.3492326909079,1 1|2 4|4 3,4.1893614
218,Normal_bimodal,180,20,300,60,0.6,300,40.0,386.3492326909079,1 1|2 4|4 3,4.1463979
219,Normal_bimodal,180,20,300,60,0.6,300,50.0,386.3492326909079,1 1|2 4|4 3,4.3400163
220,Normal_bimodal,180,20,300,60,0.8,300,5.0,353.71698759416313,5 1|1 1|3 4,1.8058191
221,Normal_bimodal,180,20,300,60,0.8,300,15.0,347.7236015925049,3 2|5 0|3 5,4.8979638
222,Normal_bimodal,180,20,300,60,0.8,300,25.0,347.7236015925049,3 2|5 0|3 5,4.1969246
223,Normal_bimodal,180,20,300,60,0.8,300,40.0,347.7236015925049,3 2|5 0|3 5,4.2748543
224,Normal_bimodal,180,20,300,60,0.8,300,50.0,347.7236015925049,3 2|5 0|3 5,4.1654908
225,Normal_bimodal,180,20,300,50,0.2,300,5.0,473.5467413615566,4 1|2 5|1 1,1.6656186
226,Normal_bimodal,180,20,300,50,0.2,300,15.0,473.5467413615566,5 5|0 2|5 0,4.0822333
227,Normal_bimodal,180,20,300,50,0.2,300,25.0,473.5467413615566,5 5|0 2|5 0,4.0084092
228,Normal_bimodal,180,20,300,50,0.2,300,40.0,473.5467413615566,5 5|0 2|5 0,3.978259
229,Normal_bimodal,180,20,300,50,0.2,300,50.0,473.5467413615566,5 5|0 2|5 0,4.036277
230,Normal_bimodal,180,20,300,50,0.4,300,5.0,431.6525273801664,0 2|3 1|3 4,2.0402836
231,Normal_bimodal,180,20,300,50,0.4,300,15.0,431.6525273801664,3 4|5 2|1 1,4.1719319
232,Normal_bimodal,180,20,300,50,0.4,300,25.0,431.6525273801664,3 4|5 2|1 1,4.131057
233,Normal_bimodal,180,20,300,50,0.4,300,40.0,431.6525273801664,3 4|5 2|1 1,4.1107624
234,Normal_bimodal,180,20,300,50,0.4,300,50.0,431.6525273801664,3 4|5 2|1 1,4.1405913
235,Normal_bimodal,180,20,300,50,0.5,300,5.0,419.11809688160463,3 1|1 3|4 5,1.7605337
236,Normal_bimodal,180,20,300,50,0.5,300,15.0,414.7383908529852,1 5|2 2|4 5,4.1951959
237,Normal_bimodal,180,20,300,50,0.5,300,25.0,414.7383908529852,1 5|2 2|4 5,4.1839272
238,Normal_bimodal,180,20,300,50,0.5,300,40.0,414.7383908529852,1 5|2 2|4 5,4.0861652
239,Normal_bimodal,180,20,300,50,0.5,300,50.0,414.7383908529852,1 5|2 2|4 5,4.1057648
240,Normal_bimodal,180,20,300,50,0.6,300,5.0,386.2508067649819,4 4|1 3|3 0,1.8277858
241,Normal_bimodal,180,20,300,50,0.6,300,15.0,386.2508067649819,1 1|2 4|4 3,4.1499497
242,Normal_bimodal,180,20,300,50,0.6,300,25.0,386.2508067649819,1 1|2 4|4 3,4.2085651
243,Normal_bimodal,180,20,300,50,0.6,300,40.0,386.2508067649819,1 1|2 4|4 3,4.3678432
244,Normal_bimodal,180,20,300,50,0.6,300,50.0,386.2508067649819,1 1|2 4|4 3,4.1289641
245,Normal_bimodal,180,20,300,50,0.8,300,5.0,353.52569129786673,5 1|1 1|3 4,1.6653138
246,Normal_bimodal,180,20,300,50,0.8,300,15.0,347.79772196287513,0 1|5 2|5 1,4.2861775
247,Normal_bimodal,180,20,300,50,0.8,300,25.0,347.79772196287513,0 1|5 2|5 1,4.272568
248,Normal_bimodal,180,20,300,50,0.8,300,40.0,347.79772196287513,0 1|5 2|5 1,4.2227076
249,Normal_bimodal,180,20,300,50,0.8,300,50.0,347.79772196287513,0 1|5 2|5 1,4.3314277
250,Normal_bimodal,180,20,300,40,0.2,300,5.0,474.8120191393343,4 1|2 5|1 1,1.6502035
